"","satisfaction","Customer.Type","Age","Type.of.Travel","Class","Flight.Distance","Seat.comfort","Departure.Arrival.time.convenient","Food.and.drink","Gate.location","Inflight.wifi.service","Inflight.entertainment","Online.support","Ease.of.Online.booking","On.board.service","Leg.room.service","Baggage.handling","Checkin.service","Cleanliness","Online.boarding","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes"
"213","satisfied","Loyal Customer",30,"Business travel","Eco",1512,0,0,0,2,5,0,5,5,5,3,2,4,3,5,0,0
"214","dissatisfied","Loyal Customer",52,"Personal Travel","Eco",397,4,5,4,1,4,5,4,2,2,4,2,4,2,5,1,0
"215","dissatisfied","Loyal Customer",39,"Business travel","Eco Plus",2281,2,2,2,2,2,2,2,2,2,2,4,2,4,2,0,0
"216","dissatisfied","disloyal Customer",38,"Business travel","Business",2615,3,2,2,1,3,2,3,3,4,4,5,3,5,3,0,5
"217","satisfied","Loyal Customer",10,"Personal Travel","Eco Plus",2021,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,0
"218","satisfied","Loyal Customer",19,"Personal Travel","Eco",2259,4,1,4,3,3,4,3,3,2,1,3,3,2,3,0,0
"219","satisfied","Loyal Customer",40,"Business travel","Business",3669,5,5,5,5,2,5,5,4,4,4,4,5,4,3,0,0
"220","dissatisfied","Loyal Customer",38,"Business travel","Eco",1959,2,1,1,1,2,3,2,2,1,1,3,4,3,2,0,0
"221","dissatisfied","Loyal Customer",40,"Personal Travel","Eco",1049,2,3,2,5,5,2,1,5,4,2,4,5,5,5,0,6
"222","dissatisfied","disloyal Customer",42,"Business travel","Eco",1489,2,2,2,4,4,2,4,4,5,4,2,3,2,4,0,0
"223","satisfied","Loyal Customer",49,"Business travel","Business",3763,4,4,4,4,3,4,5,2,2,2,2,5,2,5,0,0
"224","dissatisfied","Loyal Customer",43,"Business travel","Eco",1764,3,4,4,4,3,3,3,3,2,2,3,3,3,3,0,35
"225","dissatisfied","Loyal Customer",10,"Personal Travel","Business",2120,2,5,2,5,3,2,3,3,2,3,2,1,1,3,32,24
"226","dissatisfied","Loyal Customer",51,"Personal Travel","Eco",1865,1,3,3,4,5,3,5,5,1,3,3,3,4,5,36,92
"227","satisfied","Loyal Customer",65,"Personal Travel","Eco",956,5,5,4,1,5,5,4,3,3,4,3,3,3,4,0,0
"228","satisfied","Loyal Customer",54,"Business travel","Business",2600,3,3,3,3,2,5,5,2,2,2,2,4,2,4,14,0
"229","dissatisfied","disloyal Customer",15,"Business travel","Eco",2837,1,1,1,3,4,1,4,4,4,2,3,3,3,4,0,0
"230","satisfied","Loyal Customer",23,"Personal Travel","Eco",2608,5,5,5,5,4,4,4,4,3,5,4,4,5,4,0,0
"231","dissatisfied","Loyal Customer",46,"Personal Travel","Eco",1746,3,5,3,3,2,3,2,2,3,4,5,4,4,2,0,0
"232","satisfied","Loyal Customer",30,"Business travel","Eco",1199,4,3,3,3,4,4,4,4,1,1,3,2,3,4,0,0
"233","dissatisfied","Loyal Customer",24,"Personal Travel","Eco",1554,1,4,1,3,4,1,4,4,1,4,3,2,1,4,0,0
"234","satisfied","Loyal Customer",34,"Personal Travel","Eco",2005,5,4,4,4,5,5,5,5,3,4,1,1,5,5,40,105
"235","satisfied","Loyal Customer",41,"Business travel","Eco Plus",295,4,4,4,4,4,1,3,4,4,4,4,4,4,5,0,3
"236","dissatisfied","disloyal Customer",25,"Business travel","Eco",3095,1,1,1,3,2,1,1,2,4,4,3,4,2,2,47,63
"237","satisfied","Loyal Customer",36,"Personal Travel","Eco",3836,3,3,3,3,4,5,5,4,4,4,4,5,4,5,0,23
"238","satisfied","Loyal Customer",30,"Personal Travel","Eco",2005,5,3,5,4,5,5,5,5,2,3,4,4,4,5,12,3
"239","dissatisfied","Loyal Customer",58,"Business travel","Business",490,2,4,4,4,3,4,4,2,2,2,2,4,2,3,29,24
"240","satisfied","disloyal Customer",25,"Business travel","Eco",1210,0,4,0,4,5,0,5,5,5,1,2,4,3,5,9,5
"241","satisfied","Loyal Customer",14,"Personal Travel","Eco Plus",3140,4,4,4,3,2,4,1,2,1,1,4,3,3,2,0,0
"242","dissatisfied","Loyal Customer",60,"Business travel","Business",1093,2,4,3,4,5,4,4,2,2,2,2,1,2,4,65,47
"243","dissatisfied","Loyal Customer",68,"Personal Travel","Eco",1138,4,4,4,2,1,4,1,1,5,3,4,4,4,1,0,0
"244","satisfied","disloyal Customer",22,"Business travel","Eco",1625,4,0,5,5,3,5,3,3,4,1,2,3,5,3,0,3
"245","satisfied","Loyal Customer",16,"Personal Travel","Eco",2264,4,4,4,4,5,4,5,4,4,4,4,4,4,3,27,12
"246","satisfied","Loyal Customer",55,"Personal Travel","Eco",313,4,4,4,2,3,1,5,5,5,4,5,1,5,2,0,0
"247","dissatisfied","Loyal Customer",64,"Personal Travel","Eco",1344,1,4,1,1,2,1,2,2,4,4,5,3,5,2,0,0
"248","dissatisfied","Loyal Customer",38,"Business travel","Business",1950,1,5,5,5,3,3,3,1,1,1,1,2,1,1,5,0
"249","dissatisfied","disloyal Customer",42,"Business travel","Eco",2317,2,0,2,5,2,2,2,2,3,4,2,2,5,2,0,0
"250","dissatisfied","Loyal Customer",34,"Business travel","Business",2097,1,5,5,5,3,3,2,1,1,1,1,4,1,2,0,0
"251","satisfied","Loyal Customer",36,"Business travel","Business",531,5,5,5,5,3,5,4,5,5,5,5,2,5,4,14,5
"252","satisfied","Loyal Customer",17,"Personal Travel","Eco Plus",1940,4,4,4,4,4,5,5,5,5,5,5,5,5,5,41,55
"253","satisfied","Loyal Customer",35,"Business travel","Business",3532,2,2,2,2,5,5,5,3,3,4,3,5,3,3,0,0
"254","dissatisfied","Loyal Customer",58,"Personal Travel","Eco",2214,3,4,3,3,4,3,4,4,4,2,5,5,4,4,52,54
"255","dissatisfied","Loyal Customer",21,"Personal Travel","Eco",2160,2,4,2,2,3,2,3,3,3,5,5,3,4,3,44,42
"256","dissatisfied","disloyal Customer",30,"Business travel","Eco",1348,3,3,3,3,1,3,5,1,4,4,3,4,3,1,1,8
"257","dissatisfied","Loyal Customer",50,"Personal Travel","Eco",2977,3,4,3,2,5,3,1,5,3,5,5,5,4,5,81,63
"258","satisfied","Loyal Customer",41,"Business travel","Business",1821,5,5,5,5,4,2,1,5,5,5,5,4,5,4,95,88
"259","satisfied","Loyal Customer",44,"Business travel","Business",1158,1,1,1,1,2,4,4,4,4,5,4,5,4,3,7,0
"260","dissatisfied","Loyal Customer",28,"Personal Travel","Eco",2367,3,5,3,4,2,3,2,2,3,4,5,5,5,2,0,0
"261","satisfied","Loyal Customer",51,"Business travel","Business",254,5,5,5,5,2,5,5,5,5,4,5,3,5,4,0,0
"262","satisfied","Loyal Customer",27,"Business travel","Business",4208,2,2,2,2,5,5,5,5,3,4,5,3,5,5,0,0
"263","dissatisfied","Loyal Customer",42,"Business travel","Business",797,4,4,4,4,3,2,2,4,4,4,4,4,4,2,12,15
"264","dissatisfied","Loyal Customer",49,"Business travel","Eco",3015,2,4,4,4,2,2,2,3,2,3,3,2,1,2,133,157
"265","satisfied","Loyal Customer",25,"Business travel","Eco Plus",1955,5,2,1,1,5,5,5,5,4,4,2,3,2,5,6,4
"266","satisfied","Loyal Customer",57,"Business travel","Business",256,2,2,4,2,5,1,3,5,5,5,4,4,5,2,0,0
"267","satisfied","Loyal Customer",40,"Business travel","Eco",2194,5,2,2,2,5,5,5,5,3,1,3,4,1,5,11,16
"268","satisfied","Loyal Customer",47,"Personal Travel","Eco",399,1,1,1,1,4,4,1,4,4,4,4,5,4,1,0,0
"269","satisfied","disloyal Customer",24,"Business travel","Eco",1617,5,4,5,4,2,5,2,2,5,3,4,4,4,2,0,0
"270","dissatisfied","Loyal Customer",29,"Personal Travel","Eco",1964,2,4,2,4,4,2,4,4,4,4,4,3,5,4,24,10
"271","dissatisfied","Loyal Customer",14,"Personal Travel","Eco Plus",2316,4,4,3,5,2,3,2,2,3,5,5,4,4,2,0,0
"272","dissatisfied","Loyal Customer",26,"Personal Travel","Eco",2529,3,5,3,2,4,3,4,4,3,4,5,5,4,4,0,0
"273","satisfied","disloyal Customer",21,"Business travel","Business",942,5,3,4,1,2,4,2,2,5,5,2,4,2,2,0,0
"274","dissatisfied","disloyal Customer",22,"Business travel","Business",1214,4,1,4,2,4,4,4,4,3,5,2,3,3,4,3,0
"275","satisfied","Loyal Customer",30,"Business travel","Business",1910,2,2,2,2,5,5,5,5,3,3,4,5,4,5,34,37
"276","dissatisfied","Loyal Customer",47,"Personal Travel","Eco",1148,4,2,5,3,2,3,4,4,4,5,4,3,4,2,0,2
"277","satisfied","disloyal Customer",28,"Business travel","Eco",1613,4,4,4,3,4,4,4,4,4,1,3,2,4,4,70,60
"278","satisfied","Loyal Customer",62,"Personal Travel","Eco",422,3,3,3,3,2,4,5,5,5,5,5,3,5,5,12,4
"279","satisfied","Loyal Customer",29,"Personal Travel","Eco",2433,5,3,3,3,4,5,4,5,5,5,5,3,5,1,0,0
"280","dissatisfied","disloyal Customer",49,"Business travel","Business",2196,3,2,2,3,4,3,4,4,5,4,4,5,5,4,9,11
"281","satisfied","Loyal Customer",39,"Business travel","Business",1567,5,5,5,5,2,4,4,4,4,4,4,5,4,5,32,23
"282","satisfied","Loyal Customer",48,"Business travel","Business",105,0,4,0,4,2,3,5,4,4,5,5,3,4,5,0,0
"283","satisfied","Loyal Customer",28,"Business travel","Business",2306,2,2,2,2,4,4,4,4,1,2,3,2,3,4,0,0
"284","satisfied","Loyal Customer",48,"Business travel","Eco Plus",2138,4,5,1,5,4,4,4,4,4,5,1,2,1,4,1,9
"285","satisfied","Loyal Customer",40,"Personal Travel","Eco",3762,0,0,0,3,3,2,3,1,1,1,1,2,1,4,0,18
"286","dissatisfied","Loyal Customer",28,"Personal Travel","Eco",1498,3,4,3,4,3,3,3,3,4,3,4,5,4,3,0,2
"287","dissatisfied","Loyal Customer",72,"Business travel","Eco Plus",1168,1,1,1,1,1,4,4,1,1,1,1,1,1,3,0,0
"288","dissatisfied","Loyal Customer",37,"Personal Travel","Eco",2341,4,4,4,5,2,4,2,2,5,4,5,5,4,2,0,0
"289","dissatisfied","Loyal Customer",76,"Business travel","Eco",392,4,1,1,1,3,2,3,4,4,4,4,1,4,3,7,17
"290","dissatisfied","Loyal Customer",10,"Business travel","Eco Plus",1885,1,4,4,4,1,1,1,1,2,1,3,1,3,1,12,10
"291","satisfied","Loyal Customer",39,"Business travel","Eco",1942,3,5,5,5,3,5,3,3,5,1,5,1,5,3,0,0
"292","dissatisfied","disloyal Customer",29,"Business travel","Eco",1533,2,3,2,3,5,2,5,5,4,3,3,2,3,5,31,28
"293","dissatisfied","Loyal Customer",31,"Personal Travel","Eco",2963,3,5,3,1,1,3,5,1,4,2,4,4,4,1,0,0
"294","dissatisfied","Loyal Customer",57,"Personal Travel","Eco",1374,3,0,3,4,3,3,3,3,3,3,5,3,4,3,60,63
"295","satisfied","Loyal Customer",51,"Business travel","Business",2538,5,5,5,5,2,4,3,5,5,5,5,3,5,3,11,0
"296","satisfied","Loyal Customer",47,"Business travel","Business",2112,3,3,3,3,4,4,4,4,4,5,5,4,3,4,157,143
"297","satisfied","Loyal Customer",55,"Business travel","Business",1089,1,1,1,1,2,4,5,4,4,4,4,4,4,5,9,1
"298","dissatisfied","disloyal Customer",22,"Business travel","Eco",2252,2,5,2,1,4,2,4,4,4,3,4,4,5,4,5,14
"299","satisfied","Loyal Customer",43,"Personal Travel","Eco",920,1,1,1,1,2,3,5,5,5,5,5,3,5,4,0,0
"300","satisfied","Loyal Customer",30,"Business travel","Business",3347,5,5,5,5,5,5,5,5,3,3,5,3,3,5,0,0
"301","satisfied","Loyal Customer",43,"Personal Travel","Eco",2334,5,2,5,4,4,4,4,1,1,5,1,4,1,2,30,0
"302","satisfied","Loyal Customer",57,"Business travel","Business",4850,2,2,2,2,4,4,4,4,2,4,4,4,5,4,155,161
"303","dissatisfied","Loyal Customer",8,"Business travel","Eco Plus",2165,1,4,5,5,1,1,4,1,4,3,3,1,4,1,86,63
"304","dissatisfied","Loyal Customer",34,"Personal Travel","Eco",2329,4,4,4,3,4,5,5,5,4,5,4,5,5,5,130,140
"305","satisfied","Loyal Customer",54,"Business travel","Business",1969,4,4,4,4,3,5,4,5,5,5,5,3,5,4,0,0
"306","dissatisfied","Loyal Customer",47,"Business travel","Business",2537,2,3,3,3,5,2,3,2,2,2,2,3,2,2,72,46
"307","dissatisfied","Loyal Customer",43,"Personal Travel","Eco",2005,1,5,3,1,5,3,3,5,5,5,5,3,5,5,32,13
"308","dissatisfied","Loyal Customer",53,"Personal Travel","Eco",1796,1,4,2,2,5,2,5,5,4,5,4,4,5,5,33,32
"309","satisfied","Loyal Customer",66,"Personal Travel","Business",464,4,5,4,1,2,4,4,3,3,4,1,5,3,5,0,0
"310","dissatisfied","disloyal Customer",37,"Business travel","Eco",2007,1,5,1,3,1,1,1,4,1,3,3,1,5,1,228,237
"311","dissatisfied","disloyal Customer",26,"Business travel","Eco",2293,3,4,3,2,1,3,1,1,3,3,2,4,1,1,0,0
"312","satisfied","Loyal Customer",41,"Personal Travel","Eco",1662,5,5,5,5,1,5,2,5,5,5,5,1,5,2,0,0
"313","satisfied","Loyal Customer",42,"Business travel","Business",1468,4,4,4,4,4,5,5,4,4,4,4,5,4,4,0,0
"314","dissatisfied","Loyal Customer",27,"Personal Travel","Eco",1842,4,5,4,4,5,4,5,5,4,5,5,3,4,5,40,47
"315","satisfied","disloyal Customer",22,"Business travel","Business",2159,4,1,4,2,1,4,1,1,5,2,5,3,4,1,0,0
"316","satisfied","Loyal Customer",41,"Business travel","Business",1446,2,2,2,2,5,5,4,4,4,4,4,4,4,4,0,0
"317","satisfied","Loyal Customer",39,"Business travel","Business",3123,5,5,5,5,5,5,1,4,4,5,4,5,4,1,0,0
"318","dissatisfied","disloyal Customer",10,"Business travel","Eco",1570,3,3,3,3,4,3,4,4,3,3,4,3,4,4,0,0
"319","dissatisfied","Loyal Customer",34,"Business travel","Business",2627,2,1,1,1,2,3,4,2,2,2,2,1,2,4,91,109
"320","dissatisfied","Loyal Customer",69,"Business travel","Business",2456,3,4,4,4,1,3,4,3,3,3,3,1,3,4,0,0
"321","satisfied","Loyal Customer",53,"Business travel","Business",266,5,5,5,5,5,5,5,4,4,4,3,4,4,2,0,0
"322","satisfied","Loyal Customer",49,"Business travel","Business",1000,4,4,4,4,2,5,2,4,4,4,4,3,4,5,0,0
"323","dissatisfied","Loyal Customer",66,"Business travel","Business",2364,3,5,4,4,4,4,4,3,3,3,3,1,3,4,96,84
"324","dissatisfied","disloyal Customer",24,"Business travel","Eco",2081,1,1,1,4,5,1,4,5,4,4,5,3,5,5,0,0
"325","dissatisfied","disloyal Customer",24,"Business travel","Eco",1849,4,4,4,3,5,4,5,5,4,2,1,3,5,5,21,5
"326","dissatisfied","Loyal Customer",17,"Personal Travel","Eco",2911,1,4,1,3,1,1,1,1,5,2,4,4,5,1,22,8
"327","dissatisfied","disloyal Customer",8,"Business travel","Eco",3639,2,3,3,3,4,2,4,4,4,3,3,3,3,4,26,23
"328","dissatisfied","disloyal Customer",62,"Business travel","Eco",1747,2,2,2,3,3,2,3,3,2,3,3,1,2,3,0,0
"329","satisfied","Loyal Customer",49,"Personal Travel","Eco",2072,5,2,5,3,1,5,5,1,2,3,2,3,3,1,0,0
"330","satisfied","Loyal Customer",39,"Personal Travel","Eco",1727,4,4,4,3,5,4,5,5,3,4,4,1,4,5,0,0
"331","satisfied","disloyal Customer",22,"Business travel","Eco",2352,0,0,0,1,2,0,2,2,5,2,5,4,4,2,9,2
"332","dissatisfied","disloyal Customer",27,"Business travel","Eco",2166,2,2,2,1,4,2,1,4,5,4,5,2,2,4,10,2
"333","satisfied","Loyal Customer",69,"Business travel","Business",3945,0,4,0,3,5,1,3,5,5,5,5,2,5,4,0,0
"334","satisfied","Loyal Customer",17,"Business travel","Business",2077,2,2,2,2,4,4,4,4,5,5,5,5,5,4,7,0
"335","dissatisfied","disloyal Customer",26,"Business travel","Eco",1298,1,4,1,4,4,1,4,4,2,4,3,2,3,4,0,0
"336","satisfied","Loyal Customer",33,"Business travel","Business",2460,3,3,3,3,3,4,3,3,4,2,4,5,4,3,0,0
"337","satisfied","Loyal Customer",23,"Personal Travel","Eco",2490,3,3,4,3,5,5,5,5,5,5,5,3,5,3,0,15
"338","dissatisfied","disloyal Customer",16,"Business travel","Eco",1949,4,4,4,3,1,4,1,1,5,2,4,4,4,1,0,22
"339","satisfied","Loyal Customer",21,"Personal Travel","Eco",3544,3,3,3,3,5,5,5,5,3,2,3,5,4,5,0,9
"340","satisfied","Loyal Customer",50,"Business travel","Eco",3957,4,5,5,5,4,4,4,4,4,5,5,3,4,4,0,0
"341","satisfied","Loyal Customer",7,"Personal Travel","Eco",1580,1,1,1,1,4,5,5,2,2,2,2,3,2,5,0,0
"342","dissatisfied","Loyal Customer",48,"Business travel","Business",997,2,3,3,3,5,2,3,2,2,2,2,2,2,4,55,50
"343","satisfied","Loyal Customer",50,"Business travel","Business",1386,2,2,2,2,3,4,5,5,5,5,5,4,5,5,6,14
"344","satisfied","Loyal Customer",13,"Personal Travel","Eco",1063,4,4,4,4,3,4,3,3,4,5,2,5,3,3,0,0
"345","satisfied","Loyal Customer",37,"Personal Travel","Eco",880,0,4,0,1,3,5,5,4,4,4,4,4,4,3,0,0
"346","satisfied","Loyal Customer",57,"Business travel","Business",3225,5,1,5,5,4,5,4,4,4,4,4,3,4,4,2,4
"347","satisfied","Loyal Customer",23,"Personal Travel","Eco",1423,5,4,5,5,4,5,4,4,4,2,3,1,4,4,0,5
"348","satisfied","Loyal Customer",53,"Business travel","Eco",4018,4,2,5,2,4,4,4,4,3,2,5,3,1,4,0,0
"349","satisfied","Loyal Customer",59,"Business travel","Business",2126,2,2,4,2,5,5,4,5,5,5,5,5,5,5,16,19
"350","satisfied","Loyal Customer",16,"Business travel","Business",2803,4,4,4,4,3,3,3,3,2,5,1,2,5,3,30,0
"351","satisfied","Loyal Customer",36,"Business travel","Business",656,3,3,3,3,4,4,4,4,4,4,4,5,4,5,11,0
"352","satisfied","Loyal Customer",43,"Business travel","Business",3508,1,1,1,1,5,5,4,4,4,4,4,3,4,3,0,0
"353","dissatisfied","Loyal Customer",38,"Business travel","Eco",1238,2,2,2,2,2,2,2,2,1,2,3,3,4,2,0,0
"354","dissatisfied","Loyal Customer",38,"Business travel","Eco",2034,2,2,2,2,2,2,2,2,4,2,3,1,4,2,29,38
"355","satisfied","Loyal Customer",17,"Personal Travel","Eco",2864,4,4,4,4,2,4,4,2,2,2,2,5,2,4,41,40
"356","dissatisfied","disloyal Customer",22,"Business travel","Eco",2920,1,1,1,2,5,1,5,5,3,2,2,2,2,5,0,0
"357","dissatisfied","disloyal Customer",28,"Business travel","Eco",2206,3,2,2,3,1,2,1,1,5,3,3,4,2,1,0,0
"358","satisfied","Loyal Customer",44,"Business travel","Business",1638,0,4,0,2,4,4,4,3,2,5,4,4,5,4,230,214
"359","dissatisfied","Loyal Customer",30,"Personal Travel","Eco",2026,4,4,4,2,4,4,4,4,5,5,5,3,5,4,23,30
"360","satisfied","Loyal Customer",33,"Business travel","Eco",1776,5,1,1,1,5,5,5,5,1,3,4,1,5,5,3,13
"361","dissatisfied","Loyal Customer",59,"Business travel","Eco",341,4,4,4,4,2,2,3,5,5,4,5,1,5,4,0,1
"362","satisfied","Loyal Customer",53,"Business travel","Business",1815,2,2,2,2,4,4,5,5,5,5,5,5,5,5,0,0
"363","satisfied","Loyal Customer",67,"Personal Travel","Eco",282,0,4,0,4,4,5,5,1,1,0,1,5,1,3,0,0
"364","dissatisfied","Loyal Customer",61,"Personal Travel","Eco",2143,3,4,4,1,2,4,1,2,4,3,4,5,5,2,0,0
"365","satisfied","Loyal Customer",42,"Business travel","Business",2097,5,5,5,5,3,4,5,5,5,5,5,3,5,4,0,0
"366","satisfied","Loyal Customer",28,"Business travel","Eco",1960,4,3,4,4,4,4,4,4,3,5,3,5,1,4,27,48
"367","satisfied","Loyal Customer",42,"Business travel","Business",3147,0,0,0,4,5,5,5,4,4,4,4,5,4,4,31,21
"368","dissatisfied","disloyal Customer",38,"Business travel","Eco",1312,3,0,3,5,5,3,5,5,1,4,3,3,4,5,1,0
"369","dissatisfied","Loyal Customer",46,"Personal Travel","Eco",1900,1,3,1,1,4,1,4,4,3,1,2,2,1,4,14,5
"370","dissatisfied","disloyal Customer",57,"Business travel","Eco Plus",3042,3,3,3,4,3,3,4,3,1,4,4,1,3,3,0,0
"371","dissatisfied","Loyal Customer",60,"Personal Travel","Eco Plus",1594,3,4,3,3,1,3,1,1,4,4,4,5,4,1,0,0
"372","dissatisfied","Loyal Customer",39,"Business travel","Eco Plus",1478,3,2,2,2,3,3,3,3,1,3,2,3,2,3,0,0
"373","dissatisfied","disloyal Customer",25,"Business travel","Eco",1705,2,2,2,2,5,2,5,5,2,3,1,3,1,5,0,2
"374","dissatisfied","Loyal Customer",23,"Personal Travel","Eco",1881,2,2,2,4,1,2,1,1,1,2,3,3,3,1,0,0
"375","satisfied","Loyal Customer",51,"Business travel","Business",1597,3,3,3,3,2,4,5,5,5,5,5,3,5,5,36,51
"376","satisfied","Loyal Customer",39,"Business travel","Business",946,1,1,4,1,4,4,5,4,4,4,4,3,4,3,0,0
"377","dissatisfied","Loyal Customer",34,"Personal Travel","Eco",2364,2,4,2,2,5,2,5,5,5,4,3,3,5,5,0,0
"378","satisfied","Loyal Customer",49,"Business travel","Business",2753,1,1,3,1,2,5,5,4,4,4,4,5,4,3,68,61
"379","satisfied","Loyal Customer",32,"Business travel","Business",4541,4,1,4,4,4,4,4,4,5,4,5,4,4,4,7,9
"380","satisfied","Loyal Customer",41,"Business travel","Business",534,3,3,3,3,3,5,4,5,5,4,5,5,5,4,0,0
"381","satisfied","Loyal Customer",46,"Business travel","Business",690,4,4,4,4,2,5,5,4,4,5,4,3,4,3,0,0
"382","dissatisfied","Loyal Customer",33,"Personal Travel","Eco",4068,2,5,2,2,2,2,2,2,2,3,4,2,1,2,0,2
"383","satisfied","Loyal Customer",70,"Personal Travel","Eco",479,4,5,5,3,1,5,2,5,5,5,5,1,5,2,5,0
"384","satisfied","Loyal Customer",35,"Personal Travel","Eco Plus",2069,1,1,3,1,3,3,3,3,3,4,4,4,4,3,0,0
"385","dissatisfied","Loyal Customer",36,"Business travel","Business",2762,2,5,5,5,1,4,3,1,1,1,2,1,1,2,0,0
"386","satisfied","Loyal Customer",38,"Personal Travel","Eco",1440,4,1,4,3,1,4,1,1,4,1,3,1,4,1,64,73
"387","dissatisfied","Loyal Customer",42,"Business travel","Eco",1605,2,2,2,2,2,2,2,2,4,4,3,1,4,2,21,8
"388","satisfied","Loyal Customer",32,"Business travel","Eco Plus",2341,0,0,0,4,4,0,4,4,1,1,4,3,5,4,0,0
"389","dissatisfied","disloyal Customer",35,"Business travel","Eco",2532,3,3,3,4,5,3,1,5,4,1,3,3,3,5,17,6
"390","satisfied","Loyal Customer",24,"Personal Travel","Eco",2452,4,4,4,4,3,1,2,2,2,2,2,2,2,2,1,9
"391","satisfied","Loyal Customer",43,"Business travel","Business",1619,5,5,2,5,2,4,4,4,4,4,4,3,4,3,0,0
"392","dissatisfied","disloyal Customer",23,"Business travel","Eco",1592,1,0,1,3,4,1,2,4,5,3,1,4,4,4,0,0
"393","dissatisfied","Loyal Customer",9,"Personal Travel","Eco",2180,2,5,2,1,3,2,3,3,4,2,4,4,1,3,0,0
"394","satisfied","Loyal Customer",42,"Business travel","Business",287,5,5,5,5,1,5,1,5,5,5,5,4,5,2,0,0
"395","satisfied","Loyal Customer",52,"Business travel","Business",1656,5,5,5,5,2,5,5,2,2,2,2,5,2,4,12,8
"396","satisfied","Loyal Customer",56,"Business travel","Business",1023,5,5,5,5,2,5,4,4,4,4,4,3,4,3,0,0
"397","satisfied","Loyal Customer",59,"Business travel","Business",1795,4,4,2,4,2,4,5,5,5,5,5,3,5,5,64,49
"398","satisfied","Loyal Customer",53,"Business travel","Business",2902,1,1,1,1,4,5,5,4,4,4,4,3,4,5,122,110
"399","satisfied","disloyal Customer",28,"Business travel","Business",1645,4,3,3,2,4,3,3,4,5,4,5,3,4,4,3,0
"400","satisfied","Loyal Customer",34,"Personal Travel","Eco",2494,4,4,4,4,3,2,5,5,5,5,5,1,5,5,34,25
"401","dissatisfied","disloyal Customer",18,"Business travel","Eco",1855,1,4,1,3,4,1,4,4,3,4,4,4,5,4,0,49
"402","satisfied","Loyal Customer",30,"Business travel","Business",1298,4,4,4,4,4,4,4,4,3,4,5,5,5,4,0,0
"403","dissatisfied","Loyal Customer",27,"Personal Travel","Eco",2393,1,4,1,4,4,1,4,4,3,3,4,3,4,4,72,88
"404","dissatisfied","Loyal Customer",30,"Business travel","Business",3031,3,3,3,3,3,3,3,3,4,4,3,2,4,3,0,0
"405","satisfied","Loyal Customer",54,"Business travel","Business",980,2,2,2,2,2,4,5,5,5,5,5,3,5,4,5,10
"406","satisfied","Loyal Customer",17,"Personal Travel","Eco",1850,5,1,5,4,5,5,5,5,2,1,3,4,4,5,0,0
"407","dissatisfied","Loyal Customer",62,"Personal Travel","Eco",1398,4,4,4,3,4,5,4,4,4,4,4,3,4,4,67,56
"408","dissatisfied","Loyal Customer",23,"Business travel","Eco Plus",1822,3,5,5,5,3,3,2,3,2,5,3,2,4,3,0,20
"409","dissatisfied","Loyal Customer",60,"Business travel","Business",282,2,3,3,3,3,3,4,2,2,2,2,1,2,2,0,15
"410","dissatisfied","Loyal Customer",32,"Business travel","Business",4257,2,3,3,3,2,2,2,2,2,5,4,1,4,2,0,2
"411","dissatisfied","Loyal Customer",46,"Business travel","Business",1819,1,4,4,4,2,3,4,1,1,1,1,3,1,4,0,0
"412","dissatisfied","Loyal Customer",48,"Business travel","Eco",550,3,3,3,3,2,4,4,3,3,3,3,3,3,1,68,55
"413","satisfied","Loyal Customer",35,"Business travel","Business",1141,1,1,1,1,2,4,4,5,5,5,5,5,5,3,0,0
"414","dissatisfied","disloyal Customer",26,"Business travel","Business",1687,3,4,3,3,2,3,2,2,4,4,5,4,5,2,0,0
"415","satisfied","Loyal Customer",24,"Business travel","Business",2711,5,5,5,5,4,4,4,4,4,1,2,3,4,4,32,12
"416","satisfied","Loyal Customer",14,"Personal Travel","Eco Plus",1644,5,5,5,5,3,5,4,5,5,5,5,4,5,5,0,1
"417","satisfied","Loyal Customer",43,"Business travel","Business",1847,5,5,3,5,5,5,1,2,2,2,2,3,2,1,2,3
"418","satisfied","Loyal Customer",44,"Personal Travel","Eco",1265,5,4,5,3,3,4,4,5,5,5,5,4,5,4,0,0
"419","dissatisfied","Loyal Customer",19,"Business travel","Eco Plus",2211,3,5,5,5,3,3,3,3,1,5,4,2,3,3,1,0
"420","satisfied","Loyal Customer",39,"Business travel","Business",2447,2,2,2,2,5,3,4,2,2,2,2,5,2,5,38,18
"421","dissatisfied","Loyal Customer",69,"Personal Travel","Eco",1685,3,4,3,3,5,3,5,5,3,5,4,4,5,5,1,0
"422","satisfied","Loyal Customer",53,"Business travel","Business",2250,2,2,2,2,3,4,4,4,4,4,4,5,4,4,0,5
"423","dissatisfied","Loyal Customer",38,"Business travel","Business",3944,3,3,3,3,3,3,4,3,3,3,3,3,3,2,0,0
"424","satisfied","Loyal Customer",44,"Business travel","Business",3712,4,4,4,4,5,4,4,3,3,4,3,3,3,4,0,0
"425","dissatisfied","disloyal Customer",36,"Business travel","Eco Plus",2336,2,2,2,4,5,2,5,5,4,5,4,1,4,5,0,7
"426","satisfied","Loyal Customer",28,"Business travel","Business",4831,2,2,5,2,4,4,4,4,4,5,5,4,4,4,11,1
